question,document
What’s the Pandas way to get the 0.75 quantile of a Series?,b4c8ac5a0c
How can I find a column’s percentile value in pandas using quantile()?,b4c8ac5a0c
Is there a simple one-liner to compute the 75% quantile from df['col']?,b4c8ac5a0c
How do I extract a percentile from a dataframe column in pandas?,b4c8ac5a0c
"How do I delete every Docker container from the terminal, even the running ones?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I wipe out all Docker volumes using the command line?,66ccbb7da0
Is there a quick way to clean up all containers and images in Docker from terminal?,66ccbb7da0
"How do I fully reset Docker by removing containers, images, and volumes?",66ccbb7da0
How can I make feedback (+1 or -1) only possible once per submitted prompt in Streamlit?,2e729f1271
Why does `st.session.submitted` keep flipping back to True even after I press a feedback button?,2e729f1271
"In my Streamlit app, how do I stop the feedback buttons from being usable after a user has already voted?",2e729f1271
Is there a known fix for Streamlit session state getting reassigned when using ask and feedback buttons?,2e729f1271
Where can I find the solution for the `st.session.submitted` issue with buttons disabling after submit?,2e729f1271
"Why does my streamlit app fail in docker-compose with ""executable file not found in $PATH"", but works locally?",e8df9f0d12
What do I need to add so docker-compose can start a streamlit app without the OCI runtime error?,e8df9f0d12
Do I have to create a Dockerfile before running streamlit with docker-compose?,e8df9f0d12
"How can I fix the ""streamlit: executable file not found"" issue when launching the app through docker-compose?",e8df9f0d12
"After changing my docker-compose setup for streamlit, what command should I run to rebuild and start everything again?",e8df9f0d12
"Can we do the capstone as a group, or does each person need their own project?",0fab61eca2
"If two students work on the same idea, how separate do the submissions have to be?",0fab61eca2
Is it okay to share a system with classmates as long as we split the parts up?,0fab61eca2
Do we need a different repo for each person if we collaborate on one bigger project?,0fab61eca2
What counts as an individual capstone if multiple people are involved in the same work?,0fab61eca2
"Do we actually need to turn in two capstone projects, or is one enough?",d5fc98925d
"What does ""attempt 1"" and ""attempt 2"" mean for the project submission?",d5fc98925d
"If my first submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just for practice, and if so do they have to be different?",d5fc98925d
"If I miss the first submission window, can I still submit in the second one and keep going?",d5fc98925d
"Can I use the competition itself as my capstone project, or are they separate things?",e892d44e42
"If we join the math-kaggle-llm-competition in a team, does that still count toward the capstone?",e892d44e42
Is the capstone supposed to be done solo even if the competition allows groups?,e892d44e42
"Do I need to do an individual capstone, or can a team submission cover it?",e892d44e42
What’s the relationship between the math-kaggle-llm-competition and the capstone requirement?,e892d44e42
"How exactly are capstone projects graded in the course, and who does the grading?",9a2e2d2008
"Will my project be reviewed by other students, and do I also need to review theirs?",9a2e2d2008
What happens if I don’t grade the three projects I’m supposed to review?,9a2e2d2008
How is the final capstone score calculated from the peer reviews?,9a2e2d2008
Are there specific criteria or guidelines that reviewers have to follow when scoring the capstone project?,9a2e2d2008
"After the project deadline, how are the review assignments given out?",eae0fb50aa
Will we get a list or spreadsheet of the projects we need to grade?,eae0fb50aa
How many projects does each participant have to review after submissions close?,eae0fb50aa
"When the deadline is over, what happens next for project grading assignments?",eae0fb50aa
Do we get assigned exactly three capstone projects each for review?,eae0fb50aa
I already turned in my capstone project — why don’t I see anything to review yet?,a8a7fef016
When do project reviews get assigned after the submission deadline is over?,a8a7fef016
"Can I pick which capstone projects I want to evaluate, or are they assigned automatically?",a8a7fef016
Is there a way to review other students’ projects before the review list is released?,a8a7fef016
"I submitted my project already, but the review page is empty — is that normal?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with some good datasets I can use for the project?,e76a70cde3
I’m stuck on the capstone topic — do you have a link with ideas and dataset suggestions?,e76a70cde3
"What’s the best place to find tips, guidelines, and possible data sources for the project?",e76a70cde3
Can you point me to the GitHub page that lists project ideas and datasets?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project ingestion pipeline, or is a normal Python script enough?",d4f7c08ea1
"If I build the ingestion part in a Jupyter notebook instead of a script, will I still get full credit for that criterion?",d4f7c08ea1
"Should I add an orchestration tool just to make the capstone look better, or only if the project really needs recurring ingestion?",d4f7c08ea1
"For the capstone, what counts for the ingestion pipeline points if I’m just reading data and indexing it with Python?",d4f7c08ea1
Is it okay to skip an orchestrator in the project unless I have something like a daily-updating feed?,d4f7c08ea1
How can I test a recommender-style RAG when I don't have a clear right-answer dataset?,9b0e2d6a47
What’s a good way to create synthetic eval data for item retrieval in RAG?,9b0e2d6a47
Can I use an LLM as a judge to score the quality of my RAG outputs?,9b0e2d6a47
"For ranking tasks, should I use hit rate or something like NDCG?",9b0e2d6a47
How do I measure whether my retriever puts the best items near the top when several results are acceptable?,9b0e2d6a47
How should I chunk a huge PDF corpus for a RAG project without overthinking it from the start?,6f2a8b3d10
"Is it okay to begin with simple fixed-size chunks, and roughly what size/overlap makes sense?",6f2a8b3d10
Would it help to have an LLM split long documents into sections instead of using plain chunks?,6f2a8b3d10
Should I add short summaries to each chunk when indexing a big set of docs?,6f2a8b3d10
"For long legal or financial documents, is hybrid search better than only dense embeddings, and what PDF parsing tools are good before chunking?",6f2a8b3d10
What do you mean by reproducibility in the capstone project — do reviewers actually need my API keys to run it?,e5d8a2c761
How should I set up my repo so someone can clone it and rebuild the search index from the dataset?,e5d8a2c761
"Is it okay to commit my credentials, or should I use a .env.example file instead?",e5d8a2c761
What kind of model should I use so reviewers don’t waste a lot of credits testing the project?,e5d8a2c761
Do I need to lock dependency versions and mention the Python or Docker version somewhere in the README?,e5d8a2c761
"Can I do the homework and capstone in something besides Python, like JavaScript, Go, or Rust?",ea815eb858
"If I use a non-Python stack for the project, is that actually allowed or will it be rejected?",ea815eb858
What kind of README do I need if I submit the assignment in another language instead of Python?,ea815eb858
How detailed should the setup instructions be for a project that isn’t written in Python?,ea815eb858
"For the final project, do I have to stick to Python, or can I choose another language if I explain it well?",ea815eb858
Where do I look to see past LLM Zoomcamp capstone projects?,930286278d
Is there a page with previous project submissions from LLM Zoomcamp?,930286278d
Can I check older capstone repos from the 2024 or 2025 Zoomcamp?,930286278d
Where can I find examples of submitted LLM Zoomcamp projects to understand the scope?,930286278d
Do you have links to prior LLM Zoomcamp project pages?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
"Should I announce my project topic somewhere first, or can I just begin?",897a350476
"If I already have an idea for the capstone, do I need approval before using it?",897a350476
Can I get feedback on my project idea in Slack before I start?,897a350476
"Is it okay if my capstone topic is similar to a previous project, or does it have to be completely new?",897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I use something like a CLI or Slack app?",7318a90b14
Are there any rules about what kind of interface the end user should get for the capstone?,7318a90b14
"Will the course show how to build a bot or other interface for the project, or do I need to handle that myself?",7318a90b14
"If I use a notebook or some other non-web interface, is that still okay for the project?",7318a90b14
What’s the best tool for pulling text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned images, what OCR option should I use to extract the text?",d8b28c47a0
Is there a recommended library for converting PDF files into Markdown or JSON for RAG?,d8b28c47a0
Can I use something like PyMuPDF or unstructured instead of a dedicated PDF parser?,d8b28c47a0
Should I try a few extraction tools on my docs first to see which gives cleaner text?,d8b28c47a0
"Can I use the workshop content in my own capstone project, or is it only for the course exercises?",d850a0e7ea
Is it okay to reuse the dlt workshop material in other projects outside this workshop?,d850a0e7ea
Could I apply dlt from this workshop to something like an MLOps Zoomcamp project?,d850a0e7ea
"Since dlt is open source, does that mean I’m allowed to build on top of the workshop examples for my own work?",d850a0e7ea
"If I have questions while using the workshop material in a project, can I just ask and still use it directly?",d850a0e7ea
How do I initialize a fresh dlt project for loading files from cloud storage into DuckDB?,6bceeebf04
What command should I run to set up a new dlt filesystem project with DuckDB as the destination?,6bceeebf04
"If I want to start a dlt pipeline from cloud files, what’s the setup command I should use?",6bceeebf04
How can I create a new dlt project for ingesting data from the filesystem into DuckDB?,6bceeebf04
"Is there a quick command to bootstrap a dlt filesystem-to-duckdb project, and where can I read more about it?",6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name to `notion_pages___homework`, but it still says the table doesn't exist. What am I missing?",0407213397
"What causes the `FileNotFoundError` for `db.open_table(""notion_pages___homework"")` in the dlt workshop?",0407213397
"I renamed the homework table, but the pipeline still seems to look for the old one. How do I fix that?",0407213397
"If `db.create_table(...)` is suggesting a different name, is there another `employee_handbook` setting I need to replace with `homework`?",0407213397
"Why am I getting FileNotFoundError for notion_pages___homework in main(), and how do I fix it?",e95bfafc0e
What table name should I open in line 3 if db says notion_pages___homework does not exist?,e95bfafc0e
"I run the dlt workshop code and it says first call db.create_table(notion_pages___homework, data) — what should I check?",e95bfafc0e
How do I correctly open the homework table instead of hitting the missing table error?,e95bfafc0e
"My Notion homework ingestion fails on db.open_table, which exact table string should I use?",e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a way to list all the tables in the DB with dlt?,e394e6f738
What method do I call to get the table names from the database?,e394e6f738
How do I find out which tables were created in the database?,e394e6f738
Can I print the names of all tables in the database somehow?,e394e6f738
"Does dlt already support ClickHouse or StarRocks, or are those connectors still missing?",cd19f122f3
"Can I use dlt to load data into ClickHouse, or is there no connector for it yet?",cd19f122f3
"Is there any StarRocks connector in dlt right now, or would I need to build it myself?",cd19f122f3
"If dlt doesn't connect to ClickHouse or StarRocks yet, can the community add support for them?",cd19f122f3
What is the current status of ClickHouse and StarRocks integration in dlt?,cd19f122f3
"Why am I getting a 401 Unauthorized from the Notion API in the notebook, and what should I check first?",0dfba07ace
Could this notebook error mean my Notion token is wrong or expired?,0dfba07ace
What permissions or access settings do I need to fix a Notion API authentication problem?,0dfba07ace
I’m calling api.notion.com/v1/search and it fails with Unauthorized — is the endpoint or auth setup likely the issue?,0dfba07ace
How do I troubleshoot missing secret access in the notebook when Notion requests keep getting rejected?,0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb needs 2.32, and how can I force the newer one?",4b30b918bc
Is there a way to install requests straight from the official source so I get v2.32.3 instead of the old version?,4b30b918bc
"I’m getting a 401 Client Error during this setup — could it be a bad key or missing access, and what should I check?",4b30b918bc
What’s the exact pip command to grab the newer requests release from GitHub for this workshop?,4b30b918bc
"Why does my environment seem stuck on an older requests build, and how do I fix it without waiting for PyPI?",4b30b918bc
