question,answer_llm,answer_orig,document
What’s the best method to compare different field weights in a search engine?,"The best method is to **evaluate different field weights against a ground-truth dataset**.

A systematic approach is:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like **hit rate, precision@k, recall@k,** or **MRR**.

For small projects, you can try weights by trial and error, but evaluation is the more reliable method.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
Should I build a test set before changing field weights for retrieval?,"Yes — it’s best to build a small ground-truth test set first, before changing field weights.

The systematic approach is:

1. Create a set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics like hit rate, precision@k, recall@k, or MRR.

You can do trial and error for small projects, but having a test set makes the tuning much more reliable.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
Which metrics should I use to see if my field weighting actually improves search results?,"Use retrieval metrics against a ground-truth set, such as:

- **Hit rate**
- **Precision@k**
- **Recall@k**
- **MRR**

The idea is to try different field weights and compare how well they retrieve the known relevant documents for a set of representative questions.","The systematic approach is to evaluate different weight settings against a ground-truth dataset.

For example:

1. Create a small set of representative questions.
2. Mark which documents should be retrieved for each question.
3. Try different field weights.
4. Compare retrieval metrics such as hit rate, precision@k, recall@k, or MRR.

You can tune weights by trial and error for small projects, but evaluation is the more reliable approach. The course covers this topic more directly in the evaluation module.",87d4ea4e08
What should I do to clean documents before using them for RAG?,"To clean documents for RAG, make them **clean, structured, and easy to chunk and retrieve**.

Common steps:

- Remove obvious noise like broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but not required.
- Chunk the documents so related context stays together.
- Keep metadata that may help later filtering or ranking.

The goal is not just to make the text shorter, but to make retrieval more accurate.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Is it a good idea to remove headers, footers, OCR mistakes, and other noisy text from my docs?","Yes — that’s generally a good idea.

The guidance is to make your documents **clean, structured, and easy to chunk and retrieve**. Common noise to remove includes:

- repeated headers and footers
- OCR mistakes
- broken HTML
- duplicate text
- boilerplate

At the same time, try to **preserve useful context** such as:

- titles
- section names
- dates
- page numbers
- speaker names
- Q&A structure

The goal is not just to shorten the text, but to make retrieval more accurate.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Do I need to keep things like titles, dates, section names, or speaker labels when preparing data for RAG?","Yes — preserve useful context like **titles, section names, dates, page numbers, speaker names, and Q&A structure** when preparing data for RAG.  

The goal is to remove obvious noise, but **keep metadata and structure that help retrieval and ranking**.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
What format should I save my source documents in so they’re easier to chunk and search later?,"Store them in a structured format that’s easy to process — **JSON is often convenient**, though it’s not mandatory. The key is to keep the content clean and chunkable, with useful metadata preserved.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"How can I chunk documents for RAG without losing important context, and should I keep metadata too?","Chunk the documents so that related context stays together, not just to make them shorter. The course suggests:

- remove obvious noise like broken HTML, duplicates, boilerplate, OCR errors, repeated headers/footers
- preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure
- store the result in a structured format that is easy to process
- chunk in a way that keeps related context together

Yes, keep metadata too if it may help filtering or ranking later.

So the goal is not only smaller chunks, but more accurate retrieval.","Prepare the data so it is clean, structured, and easy to chunk and retrieve.

Common steps:

- Remove obvious noise such as broken HTML, duplicate text, boilerplate, OCR errors, repeated headers, and repeated footers.
- Preserve useful context such as titles, section names, dates, page numbers, speaker names, and Q&A structure.
- Store the result in a structured format that is easy to process. JSON is often convenient, but it is not mandatory.
- Chunk the documents in a way that keeps related context together.
- Keep metadata that may help filtering or ranking later.

The exact format depends on the source data. The goal is not just to make the text shorter, but to make retrieval more accurate.",649c280e6d
"Why does uv show ""Failed to hardlink files"" in GitHub Codespaces, and do I need to worry about it?","It happens because `uv` can’t hardlink files from its cache to the Codespaces environment, so it prints that warning and falls back to copying the files instead.

You do **not** need to worry about it. The package still installs correctly.

If you want to suppress the warning, set:

```bash
export UV_LINK_MODE=copy
```

For a persistent setting:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
"If uv can’t hardlink from the cache in Codespaces, will the install still work or does it break the package setup?","Yes, the install will still work. In Codespaces, if `uv` can’t hardlink from the cache, it falls back to copying files, so it does **not** break the package setup.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
How can I stop the uv hardlink warning for just my current terminal session?,"To stop the hardlink warning for just your current terminal session, run:

```bash
export UV_LINK_MODE=copy
```

This only affects the current shell session.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
What do I need to add to my shell config so uv always uses copy mode instead of trying to hardlink?,"Add this to your shell config:

```bash
export UV_LINK_MODE=copy
```

For example, to make it persistent in `~/.bashrc`:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
Is there an official place to read more about uv’s link mode and this hardlink/copy behavior?,"Yes — the official place is the uv documentation: https://docs.astral.sh/uv/

The context specifically says to see the uv docs for more details about the hardlink/copy behavior.","No. This warning can happen in GitHub Codespaces when `uv` cannot hardlink files between the cache and the target environment.

The package still installs. `uv` falls back to copying files.

To suppress the warning for the current shell:

```bash
export UV_LINK_MODE=copy
```

To make it persistent:

```bash
echo 'export UV_LINK_MODE=copy' >> ~/.bashrc
source ~/.bashrc
```

See the `uv` documentation for more details: [https://docs.astral.sh/uv/](https://docs.astral.sh/uv/).",acf8fa5356
My code says `dotenv` is not recognized — what package do I need to install?,"Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then use:

```python
from dotenv import load_dotenv
load_dotenv()
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
How do I fix the `dotenv` import error in Python for the RAG module?,"Install `python-dotenv` and load your `.env` file before using the API key:

```bash
uv add python-dotenv
```

Then in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

If you’re in Jupyter and `OPENAI_API_KEY` is still not found, make sure:

- `python-dotenv` is installed
- `load_dotenv()` is called before creating the client
- the variable in `.env` is exactly `OPENAI_API_KEY`

If needed, you can also use:

```bash
pip install python-dotenv
```
","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
What should I add with `uv` if `dotenv` isn’t available in my environment?,"Add `python-dotenv` with `uv`:

```bash
uv add python-dotenv
```","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
"After installing the dotenv package, how do I load the `.env` file in Python?","Use `load_dotenv()` from `python-dotenv`:

```python
from dotenv import load_dotenv

load_dotenv()
```

This loads the `.env` file from your project root.","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Is `python-dotenv` the right dependency when `dotenv` is missing?,"Yes. If `dotenv` is missing, the course recommends installing `python-dotenv`:

```bash
pip install python-dotenv
# or
uv add python-dotenv
```

Then use it like this:

```python
from dotenv import load_dotenv

load_dotenv()
```

","Install `python-dotenv`:

```bash
uv add python-dotenv
```

Then import and use it in Python:

```python
from dotenv import load_dotenv

load_dotenv()
```

The package is documented here: [python-dotenv](https://pypi.org/project/python-dotenv/).",0bed1f48da
Can I do the course on my own laptop instead of using Codespaces?,"Yes. You can run the course locally on your own laptop instead of using Codespaces, as long as you’re comfortable setting up the needed tools like Python, `uv`, Jupyter, Docker, and anything else required for the module.

Codespaces is just the easiest way to give everyone the same environment. If you run locally, it’s a good idea to document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"Is Codespaces required for the module, or can I set everything up locally?","No — Codespaces is not required. You can set everything up locally if you’re comfortable installing and configuring Python, `uv`, Jupyter, Docker, and any other needed tools for the module.

Codespaces is just the easiest way to give everyone the same environment.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
What tools do I need if I want to run the course on my machine?,"You need to set up:

- Python
- `uv`
- Jupyter
- Docker

and any other tools needed for the specific module.

If you run locally, you should also document your setup and keep it reproducible.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I skip Codespaces and work locally, do I need to keep track of my setup somehow?","Yes. If you run locally, make sure you **document your setup and keep your environment reproducible**.","Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
Why does the course recommend Codespaces if local setup is allowed?,Codespaces is recommended because it’s the easiest way for everyone to start with the same environment.,"Yes. Codespaces is just the easiest way for everyone to start with the same environment.

You can run the course locally if you are comfortable setting up Python, `uv`, Jupyter, Docker, and any other tools needed for the module.

If you run locally, make sure you document your setup and keep your environment reproducible.",aa310de435
"If I keep coding in GitHub Codespaces but never commit, where does the code actually live?",The code lives inside the Codespaces Linux VM.,"The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Will my work disappear in Codespaces if the session stops or the VM gets deleted?,"Your work is saved in the Codespaces Linux VM, but you should **commit your work regularly**. If the session stops or the VM is deleted, **uncommitted changes can be lost**.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Do I need to commit regularly in Codespaces even if my files are already saved there?,"Yes. Even if your files are saved in Codespaces, you should still commit regularly so your work is stored in your GitHub repository. Codespaces can stop, disconnect, or be deleted later, and uncommitted changes can be lost.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
"Is code in Codespaces stored in my GitHub repo automatically, or only inside the Linux VM?","Only inside the Linux VM unless you commit it.

Uncommitted code in Codespaces is saved in the Codespaces Linux VM, not automatically in your GitHub repo. If you want it in GitHub, you need to commit and push it.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
What’s the safest way to avoid losing changes when using Codespaces?,"The safest way is to **commit and push your work regularly**.  

In Codespaces, uncommitted changes may survive a stop/start, but they can be lost if the codespace is deleted or recreated.","The code is saved inside the Codespaces Linux VM.

However, you should still commit your work regularly. Codespaces can stop, disconnect, or be deleted later, and committing makes sure your work is stored in your GitHub repository.",610ccb23c0
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,"Because WSL2 does **not automatically use all the RAM in your PC**. It only uses the amount of memory allocated to WSL2, which may be less than your total system RAM.

In this case, WSL2 is reporting that **its assigned memory limit** is lower than the model needs. To fix it, increase WSL2’s RAM allocation by creating a `.wslconfig` file in:

`C:\Users\YourUsername\.wslconfig`

with something like:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

After that, you can check the available memory in WSL with `free`.

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How do I increase the RAM WSL2 can use on Windows?,"Create a `.wslconfig` file in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`

Add this to the file:

```ini
[wsl2]
memory=8GB
```

Then restart WSL:

```bash
wsl --shutdown
```

After that, check the RAM available in WSL with `free`.

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where should I put the .wslconfig file to give WSL2 more memory?,"Put it in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`

For example:

```ini
[wsl2]
memory=8GB
```

","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What should the .wslconfig contents look like for setting WSL2 memory to 8GB?,"The `.wslconfig` file should contain:

```ini
[wsl2]
memory=8GB
```

You would place it in `C:\Users\YourUsername\.wslconfig`.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How can I check in WSL whether the new memory limit was applied?,Run `free` in WSL to verify the changes.,"Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and won’t reconnect — what’s the usual fix?","The usual fix is to go to **github.com/codespaces**, **stop the codespace**, and then **start it again**.

If it’s still stuck on **“Finishing up”**:
- open it in the **browser** instead of desktop VS Code
- or try a different browser like **Edge, Chrome, or Brave**
- as a last resort, **delete the codespace and create a new one**

","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there another way to get it working?","Yes — if it still won’t connect in desktop VS Code, try opening the Codespace in the **browser** instead, or switch to another browser like **Edge, Chrome, or Brave**.

If it’s still flaky:
- stop the Codespace at [github.com/codespaces](https://github.com/codespaces)
- start it again
- as a last resort, delete it and create a new one

If Codespaces keeps giving you trouble, you can also run the course **locally instead of using Codespaces**.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
Why does it look like my setup disappeared after a rebuild or a new Codespace was created?,"Because a **rebuild** or a **brand-new Codespace** starts from a **clean image**. That means:

- your **repo files** in `/workspaces` are still there if you kept the same codespace,
- but **system/global installs** outside the project may not survive,
- and any **uncommitted changes** can be lost if the codespace was deleted or recreated.

If you need to restore the environment, just run the setup again, for example with `uv sync` or `uv add ...`.  
Also, commit and push your work often so it’s محفوظ even if the codespace is recreated.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
What should I do so I don’t lose my work if I have to delete or recreate the Codespace?,"Commit and push your work often. Uncommitted changes may survive a stop/start, but they can be lost if you delete or recreate the Codespace.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"If Codespaces keeps acting flaky, is there a recommended fallback for doing the course?","Yes — if Codespaces keeps acting flaky, the recommended fallback is to run the course locally instead. Codespaces is just the easiest shared setup, not a requirement.

If you go local, you’ll need to set up the needed tools yourself (like Python, `uv`, Jupyter, Docker, etc.) and keep your environment reproducible.","These are usually GitHub Codespaces reliability issues rather than a problem with the course, so there's no single guaranteed fix — but the following workarounds resolve most cases.

**Codespace won't connect / stuck on ""Finishing up"":**

- Go to [github.com/codespaces](https://github.com/codespaces), stop the codespace, and start it again.
- If it still won't connect, open it in the **browser** instead of desktop VS Code, or try a different browser (Edge/Chrome/Brave).
- As a last resort, delete the codespace and create a new one.

**""My setup is all gone"":**

- The repo in `/workspaces` persists across stop/start, but a **rebuild or a brand-new codespace** starts from a clean image, and system/global installs outside your project don't always survive. Reinstalling is quick with `uv` (`uv sync` / `uv add ...`).
- **Commit and push your work often** — uncommitted changes survive a stop/start but are lost if you delete or recreate the codespace.

If Codespaces keeps being flaky for you, consider running the course locally instead — see ""[Can I run the course locally instead of Codespaces?](026_aa310de435_can-i-run-the-course-locally-instead-of-codespaces.md)"".",830f3d2018
"Can I use a different LLM provider instead of OpenAI for the course exercises, or is it OpenAI-only?","Yes — you can use a different LLM provider. The course is **not OpenAI-only**.

You can use:
- OpenAI-compatible hosted providers like **Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral**
- **Hosted open-source models** via Hugging Face
- **Local models** with Ollama, vLLM, LM Studio, etc.
- Your own private endpoint, or even a **VPN** if a provider is blocked

Usually you just need to change the **`base_url`**, **API key**, and **model name**.","If the provider used in the course isn't available or is blocked in your region (or you simply prefer another one), you can use any other LLM provider — the course isn't tied to OpenAI. Just switch to something else:

- Hosted, OpenAI-compatible providers — e.g. Groq, OpenRouter, DeepSeek, Gemini, Z.ai, Mistral. The course code uses the OpenAI client, so you usually only need to change the `base_url`, the API key, and the model name.
- Open models via Hugging Face (e.g. Qwen, Llama) if you prefer hosted open-source models.
- Serve a model locally with [Ollama](https://ollama.com/), [vLLM](https://github.com/vllm-project/vllm), LM Studio, or anything else — no external API call at all, so regional blocks don't apply and you don't need a paid key. Most of these also expose an OpenAI-compatible endpoint, so the course code works with only a `base_url` change.
- Rent a GPU machine and serve the model there (e.g. with vLLM) if your own machine can't run the model you want. This gives you a private OpenAI-compatible endpoint to point the course code at — just remember to stop/delete the instance when you're done so you don't keep paying for it.
- A VPN also works if you just need to reach a provider that's blocked at the network level.

Anything with an OpenAI-compatible endpoint (or a locally served model) will work — pick whatever is available and convenient for you.

For a curated list of options, see [Awesome LLMs](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md) in the course repo, which collects OpenAI API alternatives and tools for running models locally.",c6ff9083c0
